iter	MultiClass
0	0.890280085
1	0.7619087089
2	0.6790456736
3	0.6089583352
4	0.5606714309
5	0.5224986931
6	0.4927642364
7	0.4682797943
8	0.4481513283
9	0.4314061216
10	0.4163569774
11	0.4044313808
12	0.3944509497
13	0.3846429725
14	0.3768257853
15	0.3699770835
16	0.3638858426
17	0.3595186402
18	0.3533093331
19	0.3482135919
20	0.3423532912
21	0.3377981787
22	0.3325598642
23	0.3288595687
24	0.3248293032
25	0.3217724193
26	0.3185011871
27	0.3150370201
28	0.3104867882
29	0.3075934398
30	0.3032850674
31	0.299777918
32	0.2967609684
33	0.293180784
34	0.2901931797
35	0.2873319293
36	0.2841140118
37	0.2823688011
38	0.2804926548
39	0.2778798262
40	0.2746639867
41	0.2725022318
42	0.2700004133
43	0.2672120568
44	0.2639177042
45	0.260759502
46	0.2585648078
47	0.2559868292
48	0.2530775514
49	0.2514381454
50	0.2487163161
51	0.2477055518
52	0.2455959399
53	0.2431601744
54	0.2407211036
55	0.2386018455
56	0.2371428607
57	0.2346848367
58	0.2327818165
59	0.2302507808
60	0.2281830736
61	0.2262610123
62	0.2248060216
63	0.2235654355
64	0.2222753133
65	0.2207953924
66	0.2189808542
67	0.2170764865
68	0.2160420696
69	0.2143154385
70	0.2120450352
71	0.2108149771
72	0.2094231568
73	0.2078803912
74	0.2064592844
75	0.2051286637
76	0.2034285061
77	0.2011456401
78	0.199371575
79	0.1977806964
80	0.1966154022
81	0.1948588205
82	0.1931329795
83	0.1918331206
84	0.1902830716
85	0.1885478052
86	0.1876975136
87	0.1860622359
88	0.1840277655
89	0.1827932156
90	0.1816231472
91	0.1797915558
92	0.1787404558
93	0.1762814637
94	0.1756501213
95	0.1744867412
96	0.1733251117
97	0.1717042479
98	0.1704070294
99	0.1695676526
100	0.1683925709
101	0.1676243178
102	0.1666766043
103	0.1656440284
104	0.1647005802
105	0.1635551404
106	0.1624549569
107	0.1610471299
108	0.1595939478
109	0.15889213
110	0.1582053991
111	0.1574616494
112	0.1560675762
113	0.1551948639
114	0.1540991316
115	0.1529108642
116	0.1518896435
117	0.1507368943
118	0.1499624545
119	0.1490207537
120	0.1480008277
121	0.1465442297
122	0.145738415
123	0.1450526941
124	0.1441557452
125	0.1433530328
126	0.1427703911
127	0.1415064346
128	0.1407844523
129	0.1400759154
130	0.1393031027
131	0.1379619451
132	0.1375021792
133	0.1362153235
134	0.1356548371
135	0.1351751866
136	0.1342355849
137	0.1330955099
138	0.1325265049
139	0.1319533937
140	0.1311816518
141	0.1308012961
142	0.1299764495
143	0.1289475162
144	0.1285152881
145	0.1280099545
146	0.1270171877
147	0.1260289179
148	0.1250992425
149	0.1243331596
150	0.1234116129
151	0.1225401773
152	0.1219922855
153	0.1210943754
154	0.1204193128
155	0.119940308
156	0.1192450589
157	0.1184160325
158	0.1179680848
159	0.1172490616
160	0.1161011293
161	0.1155896361
162	0.115127336
163	0.1146015764
164	0.1142666394
165	0.1136685391
166	0.1128726259
167	0.1122495398
168	0.1116499417
169	0.1109948691
170	0.1103536815
171	0.109710708
172	0.1087717664
173	0.1082300793
174	0.1078845563
175	0.1073101123
176	0.1066197827
177	0.1061544503
178	0.1056438739
179	0.105166728
180	0.1046956544
181	0.1040229512
182	0.1034821706
183	0.1029883419
184	0.1024299895
185	0.1018941362
186	0.1014685572
187	0.100758998
188	0.1000328673
189	0.0992558651
190	0.09841672463
191	0.09807579566
192	0.09750713814
193	0.09691090868
194	0.09631147173
195	0.09572206164
196	0.09539473782
197	0.09485133982
198	0.09431903241
199	0.09369061354
200	0.09335483155
201	0.09298655159
202	0.09227051018
203	0.09197080939
204	0.09158732728
205	0.09108877769
206	0.09063153703
207	0.09030963507
208	0.0900998763
209	0.08969293103
210	0.08912305169
211	0.08877683539
212	0.08832809632
213	0.08769385304
214	0.08737679459
215	0.08706685222
216	0.08638926329
217	0.08606011804
218	0.08556088376
219	0.08514126924
220	0.08466317084
221	0.08432159404
222	0.08395938809
223	0.08349419943
224	0.08316719617
225	0.08294271231
226	0.08260590014
227	0.08229745761
228	0.08207574834
229	0.08182502419
230	0.08138047403
231	0.08088103112
232	0.08049592534
233	0.08013262764
234	0.0798141572
235	0.07955438026
236	0.07914677402
237	0.0788252738
238	0.07844038562
239	0.07789347773
240	0.0776396412
241	0.07710427261
242	0.07678828869
243	0.07645151505
244	0.07595148381
245	0.07564350311
246	0.07545575299
247	0.07520285303
248	0.07500462209
249	0.07454798089
250	0.07425535081
251	0.07391386216
252	0.07379820201
253	0.07334382065
254	0.07308339148
255	0.07285823094
256	0.07255798079
257	0.07231202527
258	0.07189625453
259	0.07149523012
260	0.07110824022
261	0.0706745212
262	0.07051127109
263	0.0702981275
264	0.07011732082
265	0.06989752777
266	0.06961420723
267	0.0692975244
268	0.06898405896
269	0.06865199471
270	0.06849059163
271	0.06832214343
272	0.06781493385
273	0.06744686644
274	0.06705096003
275	0.06671503926
276	0.06643078136
277	0.06624775165
278	0.06599136691
279	0.06574222042
280	0.06543416087
281	0.06513174526
282	0.06475297149
283	0.06448415747
284	0.06432317124
285	0.06411853823
286	0.06383207203
287	0.06356318564
288	0.06339321077
289	0.063184502
290	0.06296754524
291	0.06271407256
292	0.06235338921
293	0.06208467223
294	0.06176882663
295	0.06159445867
296	0.0611547867
297	0.06098237493
298	0.0605968821
299	0.06040632143
300	0.06012330965
301	0.05985591162
302	0.05959297302
303	0.05928453815
304	0.05914449573
305	0.05896292977
306	0.05882252938
307	0.058497318
308	0.05837452887
309	0.05802882748
310	0.05775847395
311	0.05755175064
312	0.05730520321
313	0.05712646452
314	0.05689468798
315	0.05663520205
316	0.05644469486
317	0.05614058207
318	0.05598463847
319	0.05585825504
320	0.05565972617
321	0.05543991624
322	0.0551553194
323	0.0549535985
324	0.05480800889
325	0.05455672351
326	0.05430955113
327	0.05415266979
328	0.05393602152
329	0.05372032396
330	0.05357813335
331	0.05319788158
332	0.05296679191
333	0.05278456372
334	0.05260476257
335	0.05238966426
336	0.05226684001
337	0.05211062813
338	0.05197200429
339	0.05169489114
340	0.05154478798
341	0.05143590762
342	0.05120857772
343	0.0510423761
344	0.0508881058
345	0.05064521108
346	0.05047925656
347	0.0502277501
348	0.04993895677
349	0.04974095006
350	0.04953006462
351	0.04942618834
352	0.04919781708
353	0.04900412986
354	0.0487875721
355	0.04864886426
356	0.04852110738
357	0.04842714444
358	0.04821837761
359	0.04797653971
360	0.04768686371
361	0.04757787143
362	0.04736912552
363	0.04719523369
364	0.04705426454
365	0.04687009963
366	0.04668194867
367	0.04660345161
368	0.04650625615
369	0.04633001154
370	0.04616660581
371	0.04602729587
372	0.04585657561
373	0.04561197199
374	0.0454831679
375	0.04538462002
376	0.04519246727
377	0.0450457814
378	0.0448920602
379	0.04478288312
380	0.04467350165
381	0.04452585746
382	0.0443571171
383	0.04420136346
384	0.04401938618
385	0.04386517242
386	0.04373690044
387	0.04356995834
388	0.04341504506
389	0.04317521789
390	0.04304420482
391	0.04298051713
392	0.04290890492
393	0.04273640544
394	0.04251519718
395	0.04232939966
396	0.04222270599
397	0.04205620862
398	0.04191940298
399	0.04182388415
400	0.04165096364
401	0.04155674211
402	0.04138802027
403	0.04128662184
404	0.04118900178
405	0.04111863546
406	0.04099535851
407	0.04085060184
408	0.04067697733
409	0.0405086946
410	0.04039926587
411	0.04026638195
412	0.04013372823
413	0.03992015587
414	0.03980979488
415	0.03967887048
416	0.03951520171
417	0.03940444414
418	0.03931407895
419	0.03925996248
420	0.03918570413
421	0.03907967343
422	0.03893970205
423	0.03878260491
424	0.03870128983
425	0.03859586345
426	0.03846271914
427	0.03837437979
428	0.03821948439
429	0.03807128571
430	0.03798957864
431	0.03784831163
432	0.0376955798
433	0.03761638016
434	0.03742692886
435	0.03731788249
436	0.03719049576
437	0.03712399783
438	0.03697973681
439	0.03690940325
440	0.03673617443
441	0.03661994292
442	0.03650883107
443	0.03639602018
444	0.0362887077
445	0.03613573023
446	0.03601927331
447	0.03596526527
448	0.03579959553
449	0.03570685188
450	0.0355930778
451	0.03547745035
452	0.03536105137
453	0.03529599108
454	0.03520012964
455	0.03506713639
456	0.03492136237
457	0.03475784188
458	0.03471098203
459	0.03459134762
460	0.03453839984
461	0.03443647263
462	0.03433923696
463	0.03426872444
464	0.03417959052
465	0.03410335777
466	0.03399186473
467	0.03384444604
468	0.03375796901
469	0.03364863734
470	0.0334974148
471	0.03335503845
472	0.03325670515
473	0.03315320499
474	0.03311403772
475	0.03298052783
476	0.03290328379
477	0.03284432998
478	0.03273885076
479	0.03264328382
480	0.03253469738
481	0.03243925682
482	0.0322957688
483	0.03219558825
484	0.03208311994
485	0.03200124922
486	0.03192854382
487	0.03184576941
488	0.03176858474
489	0.03167356893
490	0.03154674151
491	0.03144074214
492	0.0313795865
493	0.03131330147
494	0.03125055565
495	0.0311936452
496	0.03109834176
497	0.03099905726
498	0.03091167591
499	0.03082929659
